text,font_size,font_name,is_bold,is_italic,x0,x1,y0,y1,y_pos,text_alignment,line_spacing,page,is_uppercase,num_words,text_length,contains_colon_or_dot,is_numbered_heading,has_bullets_or_dashes,pdf_file
fare,9.744400000000041,OILBGN+Tahoma,0,0,213.70702464000004,233.50667100000004,434.6539268000002,444.39832680000023,439.5261268000002,center,0.0,1,0,1,4,0,0,0,file01.pdf
from,9.744400000000041,OILBGN+Tahoma,0,0,244.84038264000006,267.94240616,434.6539268000002,444.39832680000023,439.5261268000002,center,0.0,1,0,1,4,0,0,0,file01.pdf
the,9.744400000000041,OILBGN+Tahoma,0,0,279.2371402,296.08131003999995,434.6539268000002,444.39832680000023,439.5261268000002,center,0.0,1,0,1,3,0,0,0,file01.pdf
10.,9.744400000000041,OIKPLG+Tahoma-Bold,1,0,70.02000000000001,88.30439216,414.0737540000002,423.8181540000002,418.9459540000002,left,20.580172800000014,1,0,1,3,1,0,0,file01.pdf
headquarters  to  home  town/place  of  visit  by,9.744400000000041,OILBGN+Tahoma,0,0,95.9985704,296.00822703999995,417.0750292000002,426.81942920000023,421.9472292000002,left,3.001275200000009,1,0,7,49,0,0,0,file01.pdf
shortest route.,9.744400000000041,OILBGN+Tahoma,0,0,95.9985704,161.9876472,399.4961316000002,409.2405316000002,404.3683316000002,left,17.578897600000005,1,0,2,15,1,0,0,file01.pdf
Persons in respect of whom LTC is proposed to be availed.,9.744400000000041,OILBGN+Tahoma,0,0,95.9985704,350.76103620000004,381.31308120000017,391.0574812000002,386.1852812000002,left,18.183050400000013,1,0,11,57,1,0,0,file01.pdf
Name,9.744400000000041,OIKPLG+Tahoma-Bold,1,0,211.41221844,242.72097564000003,366.18977240000015,375.9341724000002,371.0619724000002,center,15.123308800000018,1,0,1,4,0,0,0,file01.pdf
Age,9.744400000000041,OIKPLG+Tahoma-Bold,1,0,343.4770972,364.9440104,366.18977240000015,375.9341724000002,371.0619724000002,center,0.0,1,0,1,3,0,0,0,file01.pdf
Relationship,9.744400000000041,OIKPLG+Tahoma-Bold,1,0,444.5849916,508.57159420000005,366.18977240000015,375.9341724000002,371.0619724000002,right,0.0,1,0,1,12,0,0,0,file01.pdf
S.No,9.744400000000041,OIKPLG+Tahoma-Bold,1,0,95.9985704,121.62634240000001,366.18977240000015,375.9341724000002,371.0619724000002,left,0.0,1,0,1,4,1,0,0,file01.pdf
1.,9.744400000000041,OIKPLG+Tahoma-Bold,1,0,103.62843559999999,115.73098039999999,354.00927240000016,363.7536724000002,358.8814724000002,left,12.180499999999995,1,0,1,2,1,0,0,file01.pdf
2.,9.744400000000041,OIKPLG+Tahoma-Bold,1,0,103.62843559999999,115.73098039999999,341.7703060000002,351.5147060000002,346.6425060000002,left,12.238966399999981,1,0,1,2,1,0,0,file01.pdf
3.,9.744400000000041,OIKPLG+Tahoma-Bold,1,0,103.62843559999999,115.73098039999999,329.5898060000002,339.3342060000002,334.4620060000002,left,12.180499999999995,1,0,1,2,1,0,0,file01.pdf
4.,9.744400000000041,OIKPLG+Tahoma-Bold,1,0,103.62843559999999,115.73098039999999,317.29237320000016,327.0367732000002,322.1645732000002,left,12.297432800000024,1,0,1,2,1,0,0,file01.pdf
5.,9.744400000000041,OIKPLG+Tahoma-Bold,1,0,103.62843559999999,115.73098039999999,300.79510400000015,310.5395040000002,305.6673040000002,left,16.497269200000005,1,0,1,2,1,0,0,file01.pdf
6.,9.744400000000041,OIKPLG+Tahoma-Bold,1,0,103.62843559999999,115.73098039999999,288.55613760000017,298.3005376000002,293.4283376000002,left,12.238966399999981,1,0,1,2,1,0,0,file01.pdf
Amount of advance required.,9.744400000000041,OILBGN+Tahoma,0,0,96.0083148,223.99028996,269.11605960000014,278.8604596000002,273.98825960000016,left,19.440078000000028,1,0,4,27,1,0,0,file01.pdf
Rs.,9.744400000000041,OILBGN+Tahoma,0,0,304.3923088,320.76582412000005,269.11605960000014,278.8604596000002,273.98825960000016,center,0.0,1,0,1,3,1,0,0,file01.pdf
11.,9.744400000000041,OIKPLG+Tahoma-Bold,1,0,70.02000000000001,88.30439216,331.63613000000015,341.3805300000002,336.50833000000017,left,62.52007040000001,1,0,1,3,1,0,0,file01.pdf
12.,9.744400000000041,OIKPLG+Tahoma-Bold,1,0,70.02974439999998,88.31413655999998,263.24018640000014,272.9845864000002,268.11238640000016,left,68.39594360000001,1,0,1,3,1,0,0,file01.pdf
I  declare  that  the  particulars  furnished  above  are  true  and  correct  to  the  best  of  my  knowledge.,9.744399999999985,OILBGN+Tahoma,0,0,105.07060680000004,553.9181340399999,233.41257800000017,243.15697800000015,238.28477800000016,left,29.82760840000003,1,0,17,112,1,0,0,file01.pdf
I,9.744399999999985,OILBGN+Tahoma,0,0,561.3034148,573.17501732,233.41257800000017,243.15697800000015,238.28477800000016,right,0.0,1,1,1,1,0,0,0,file01.pdf
undertake to produce the tickets for the outward journey within ten days of receipt of the advance.,9.744399999999985,OILBGN+Tahoma,0,0,70.02974440000003,499.65936595999995,221.70955360000016,231.45395360000015,226.58175360000016,left,11.703024400000004,1,0,17,99,1,0,0,file01.pdf
In  the  event  of  cancellation  of  the  journey  or  if  I  fail  to  produce  the  tickets  within  ten  days  of  receipt of,9.744399999999983,OILBGN+Tahoma,0,0,105.08035120000002,573.1672217999999,198.18657200000015,207.93097200000014,203.05877200000015,left,23.52298160000001,1,0,22,129,0,0,0,file01.pdf
"advance, I undertake to refund the entire advance in one lump sum.",9.744399999999985,OILBGN+Tahoma,0,0,70.03948880000002,367.65587691999974,186.42508120000016,196.16948120000015,191.29728120000016,left,11.76149079999999,1,0,12,66,1,0,0,file01.pdf
Date,9.744399999999985,OIKPLG+Tahoma-Bold,1,0,70.03948880000002,95.87968872000002,151.26728600000015,161.01168600000014,156.13948600000015,left,35.15779520000001,1,0,1,4,0,0,0,file01.pdf
Signature of Government Servant.,9.744399999999985,OIKPLG+Tahoma-Bold,1,0,403.04461440000006,572.9752571200002,139.50579520000016,149.25019520000015,144.37799520000016,right,11.76149079999999,1,0,4,32,1,0,0,file01.pdf
Overview,24.0,Helvetica-Bold,1,0,252.65,365.954,575.692,599.692,587.692,center,,1,0,1,8,0,0,0,file02.pdf
Foundation Level Extensions,24.0,Helvetica-Bold,1,0,139.346,479.3564000000001,520.468,544.468,532.468,left,55.224000000000046,1,0,3,27,0,0,0,file02.pdf
Version 1.0,12.0,Helvetica,0,0,275.69,339.81800000000004,396.226,408.226,402.226,center,136.24199999999996,1,0,2,11,1,0,0,file02.pdf
International Software Testing Qualifications Board,18.0,Helvetica,0,0,103.34,513.4160000000002,306.284,324.284,315.284,left,83.94200000000001,1,0,5,51,0,0,0,file02.pdf
Copyright Notice,9.960000000000008,Helvetica,0,0,70.944,147.6858,128.63827999999998,138.59828,133.61827999999997,left,185.68572,1,0,2,16,0,0,0,file02.pdf
"This document may be copied in its entirety, or extracts made, if the source is acknowledged.",9.959999999999994,Helvetica,0,0,70.944,484.99115999999987,117.11456,127.07455999999999,122.09456,left,11.523719999999997,1,0,16,93,1,0,0,file02.pdf
Overview,12.0,Helvetica,0,0,74.424,127.78800000000001,737.0759999999999,749.0759999999999,743.0759999999999,left,,2,0,1,8,0,0,0,file02.pdf
Foundation Level Extension – Agile Tester,9.960000000000033,Helvetica,0,0,74.424,265.0652,722.3986799999999,732.45828,727.4284799999999,left,16.617719999999963,2,0,6,41,0,0,0,file02.pdf
International,9.960000000000036,Helvetica,0,0,447.91,505.67956000000004,742.29828,752.25828,747.27828,right,19.800000000000068,2,0,1,13,0,0,0,file02.pdf
Software Testing,9.960000000000036,Helvetica,0,0,437.95,515.6877999999999,730.77828,740.73828,735.75828,right,11.519999999999982,2,0,2,16,0,0,0,file02.pdf
Qualifications Board,9.960000000000036,Helvetica,0,0,430.75,522.84016,719.25828,729.21828,724.23828,right,11.519999999999982,2,0,2,20,0,0,0,file02.pdf
Copyright © International Software Testing Qualifications Board (hereinafter called ISTQB®).,9.960000000000036,Helvetica,0,0,70.944,483.24716399999994,660.55828,670.51828,665.53828,left,58.700000000000045,2,0,10,92,1,0,0,file02.pdf
Version 2014,9.96,ABCDEE+Trebuchet MS,0,0,76.58136,136.514664,61.9224399999999,71.8824399999999,66.9024399999999,left,598.6358400000001,2,0,2,12,0,0,0,file02.pdf
Page 2 of 12,9.96,ABCDEE+Trebuchet MS,0,0,270.16392,328.36219200000005,61.9224399999999,71.8824399999999,66.9024399999999,center,0.0,2,0,4,12,0,0,0,file02.pdf
"May 31, 2014",9.96,ABCDEE+Trebuchet MS,0,0,471.57504000000006,533.131824,61.9224399999999,71.8824399999999,66.9024399999999,right,0.0,2,0,3,12,0,0,0,file02.pdf
© International Software Testing Qualifications Board,6.0,Helvetica,0,0,76.584,219.2940000000001,48.438,54.438,51.438,left,17.4444399999999,2,0,6,53,0,0,0,file02.pdf
Overview,12.0,Helvetica,0,0,74.424,127.78800000000001,737.0759999999999,749.0759999999999,743.0759999999999,left,,3,0,1,8,0,0,0,file02.pdf
Foundation Level Extension – Agile Tester,9.960000000000033,Helvetica,0,0,74.424,265.0652,722.3986799999999,732.45828,727.4284799999999,left,16.617719999999963,3,0,6,41,0,0,0,file02.pdf
International,9.960000000000036,Helvetica,0,0,447.91,505.67956000000004,742.29828,752.25828,747.27828,right,19.800000000000068,3,0,1,13,0,0,0,file02.pdf
Software Testing,9.960000000000036,Helvetica,0,0,437.95,515.6877999999999,730.77828,740.73828,735.75828,right,11.519999999999982,3,0,2,16,0,0,0,file02.pdf
Qualifications Board,9.960000000000036,Helvetica,0,0,430.75,522.84016,719.25828,729.21828,724.23828,right,11.519999999999982,3,0,2,20,0,0,0,file02.pdf
Revision History,15.960000000000036,Helvetica-Bold,1,0,70.944,201.52872,665.31628,681.27628,673.29628,left,47.94200000000001,3,0,2,16,0,0,0,file02.pdf
Version,9.960000000000036,Helvetica-Bold,1,0,74.424,113.74608,641.4782799999999,651.43828,646.45828,left,29.83800000000008,3,0,1,7,0,0,0,file02.pdf
0.1,9.960000000000036,Helvetica,0,0,74.424,91.13064,629.1182799999999,639.07828,634.0982799999999,left,12.360000000000014,3,0,1,3,1,0,0,file02.pdf
0.2,9.960000000000036,Helvetica,0,0,74.424,91.11696,616.87828,626.83828,621.85828,left,12.239999999999895,3,0,1,3,1,0,0,file02.pdf
0.3,9.960000000000036,Helvetica,0,0,74.424,91.11696,604.63828,614.59828,609.61828,left,12.240000000000009,3,0,1,3,1,0,0,file02.pdf
0.7,9.960000000000036,Helvetica,0,0,74.424,91.13064,592.39828,602.35828,597.37828,left,12.240000000000009,3,0,1,3,1,0,0,file02.pdf
0.8,9.960000000000036,Helvetica,0,0,74.424,91.11696,580.15828,590.11828,585.13828,left,12.240000000000009,3,0,1,3,1,0,0,file02.pdf
1.0,9.960000000000036,Helvetica,0,0,74.424,91.11696,567.91828,577.87828,572.89828,left,12.240000000000009,3,0,1,3,1,0,0,file02.pdf
Date,9.960000000000036,Helvetica-Bold,1,0,146.42,170.79211999999998,641.4782799999999,651.43828,646.45828,left,73.55999999999995,3,0,1,4,0,0,0,file02.pdf
18 JUNE 2013,9.960000000000036,Helvetica,0,0,146.42,214.10816,629.1182799999999,639.07828,634.0982799999999,left,12.360000000000014,3,1,3,12,0,1,0,file02.pdf
23 JULY 2013,9.960000000000036,Helvetica,0,0,146.42,212.42492000000001,616.87828,626.83828,621.85828,left,12.239999999999895,3,1,3,12,0,1,0,file02.pdf
6 NOV 2013,9.960000000000036,Helvetica,0,0,146.42,204.14816,604.63828,614.59828,609.61828,left,12.240000000000009,3,1,3,10,0,1,0,file02.pdf
11 DEC 2013,9.960000000000036,Helvetica,0,0,146.42,209.08052,592.39828,602.35828,597.37828,left,12.240000000000009,3,1,3,11,0,1,0,file02.pdf
20 DEC 2013,9.960000000000036,Helvetica,0,0,146.42,209.07836,580.15828,590.11828,585.13828,left,12.240000000000009,3,1,3,11,0,1,0,file02.pdf
31 MAY 2014,9.960000000000036,Helvetica,0,0,146.42,209.666,567.91828,577.87828,572.89828,left,12.240000000000009,3,1,3,11,0,1,0,file02.pdf
Remarks,9.960000000000036,Helvetica-Bold,1,0,278.69,323.59964,641.4782799999999,651.43828,646.45828,center,73.55999999999995,3,0,1,7,0,0,0,file02.pdf
Initial version,9.960000000000036,Helvetica,0,0,278.69,339.76472000000007,629.1182799999999,639.07828,634.0982799999999,center,12.360000000000014,3,0,2,15,0,0,0,file02.pdf
WG reviewed and confirmed,9.960000000000036,Helvetica,0,0,278.69,407.49272,616.87828,626.83828,621.85828,left,12.239999999999895,3,0,4,25,0,0,0,file02.pdf
amended population and diagram,9.960000000000036,Helvetica,0,0,278.69,430.2712400000001,604.63828,614.59828,609.61828,left,12.240000000000009,3,0,4,30,0,0,0,file02.pdf
Amended Business Outcomes and Chapters matching,9.960000000000036,Helvetica,0,0,278.69,522.17404,592.39828,602.35828,597.37828,left,12.240000000000009,3,0,6,47,0,0,0,file02.pdf
Working group updates on 0.7,9.960000000000036,Helvetica,0,0,278.69,415.51756,580.15828,590.11828,585.13828,left,12.240000000000009,3,0,5,28,1,0,0,file02.pdf
GA release for Agile Extension,9.960000000000036,Helvetica,0,0,278.69,417.50456,567.91828,577.87828,572.89828,left,12.240000000000009,3,0,5,30,0,0,0,file02.pdf
Version 2014,9.960000000000008,ABCDEE+Trebuchet MS,0,0,76.584,136.51730400000002,61.9182,71.8782,66.8982,left,506.00008,3,0,2,12,0,0,0,file02.pdf
Page 3 of 12,9.960000000000008,ABCDEE+Trebuchet MS,0,0,270.16656,328.36483200000004,61.9182,71.8782,66.8982,center,0.0,3,0,4,12,0,0,0,file02.pdf
"May 31, 2014",9.960000000000008,ABCDEE+Trebuchet MS,0,0,471.5776800000001,533.1344640000001,61.9182,71.8782,66.8982,right,0.0,3,0,3,12,0,0,0,file02.pdf
© International Software Testing Qualifications Board,6.0,Helvetica,0,0,76.584,219.2940000000001,48.438,54.438,51.438,left,17.440200000000004,3,0,6,53,0,0,0,file02.pdf
Overview,12.0,Helvetica,0,0,74.424,127.78800000000001,737.0759999999999,749.0759999999999,743.0759999999999,left,,4,0,1,8,0,0,0,file02.pdf
Foundation Level Extension – Agile Tester,9.960000000000033,Helvetica,0,0,74.424,265.0652,722.3986799999999,732.45828,727.4284799999999,left,16.617719999999963,4,0,6,41,0,0,0,file02.pdf
International,9.960000000000036,Helvetica,0,0,447.91,505.67956000000004,742.29828,752.25828,747.27828,right,19.800000000000068,4,0,1,13,0,0,0,file02.pdf
Software Testing,9.960000000000036,Helvetica,0,0,437.95,515.6877999999999,730.77828,740.73828,735.75828,right,11.519999999999982,4,0,2,16,0,0,0,file02.pdf
Qualifications Board,9.960000000000036,Helvetica,0,0,430.75,522.84016,719.25828,729.21828,724.23828,right,11.519999999999982,4,0,2,20,0,0,0,file02.pdf
Table of Contents,15.960000000000036,Helvetica-Bold,1,0,70.944,208.75859999999997,665.31628,681.27628,673.29628,left,47.94200000000001,4,0,3,17,0,0,0,file02.pdf
Revision History,9.960000000000036,Helvetica-Bold,1,0,70.944,152.50644,636.19828,646.15828,641.17828,left,35.11800000000005,4,0,2,16,0,0,0,file02.pdf
..........................................................................................................................................,9.960000000000036,Helvetica-Bold,1,0,151.8192,535.5281999999982,636.19828,646.15828,641.17828,left,0.0,4,0,1,138,1,0,0,file02.pdf
3,9.960000000000036,Helvetica-Bold,1,0,535.1796,543.4862400000001,636.19828,646.15828,641.17828,right,0.0,4,0,1,1,0,0,0,file02.pdf
Table of Contents,9.960000000000036,Helvetica-Bold,1,0,70.94400000000002,158.196588,618.7981599999999,628.75816,623.77816,left,17.400120000000015,4,0,3,17,0,0,0,file02.pdf
........................................................................................................................................,9.960000000000036,Helvetica-Bold,1,0,157.33704,535.5281999999991,618.7981599999999,628.75816,623.77816,left,0.0,4,0,1,136,1,0,0,file02.pdf
4,9.960000000000036,Helvetica-Bold,1,0,535.1796,543.4862400000001,618.7981599999999,628.75816,623.77816,right,0.0,4,0,1,1,0,0,0,file02.pdf
1.,9.960000000000036,Helvetica-Bold,1,0,70.94400000000002,81.98366400000002,601.27852,611.23852,606.25852,left,17.51963999999998,4,0,1,2,1,0,0,file02.pdf
2.,9.960000000000036,Helvetica-Bold,1,0,70.94400000000002,81.98366400000002,583.75888,593.71888,588.73888,left,17.51963999999998,4,0,1,2,1,0,0,file02.pdf
Introduction to the Foundation Level Extensions,9.960000000000036,Helvetica-Bold,1,0,90.98352000000003,323.4499200000002,601.27852,611.23852,606.25852,left,17.51963999999998,4,0,6,47,0,0,0,file02.pdf
............................................................................,9.960000000000036,Helvetica-Bold,1,0,322.97184000000004,535.5401519999998,601.27852,611.23852,606.25852,left,0.0,4,0,1,76,1,0,0,file02.pdf
6,9.960000000000036,Helvetica-Bold,1,0,535.1796,543.4862400000001,601.27852,611.23852,606.25852,right,0.0,4,0,1,1,0,0,0,file02.pdf
Introduction to Foundation Level Agile Tester Extension,9.960000000000036,Helvetica-Bold,1,0,90.98352000000003,360.20232000000004,583.75888,593.71888,588.73888,left,17.51963999999998,4,0,7,55,0,0,0,file02.pdf
...............................................................,9.960000000000036,Helvetica-Bold,1,0,358.86768000000006,535.5112680000002,583.75888,593.71888,588.73888,left,0.0,4,0,1,63,1,0,0,file02.pdf
7,9.960000000000036,Helvetica-Bold,1,0,535.1796,543.4862400000001,583.75888,593.71888,588.73888,right,0.0,4,0,1,1,0,0,0,file02.pdf
2.1,9.960000000000036,Helvetica,0,0,80.904,97.59696,566.11972,576.0797200000001,571.09972,left,17.639159999999947,4,0,1,3,1,0,0,file02.pdf
Intended Audience,9.960000000000036,Helvetica,0,0,110.90352,196.89816000000005,566.11972,576.0797200000001,571.09972,left,0.0,4,0,2,17,0,0,0,file02.pdf
2.2  Career Paths for Testers,9.960000000000036,Helvetica,0,0,80.904,223.06308000000004,554.596,564.556,559.576,left,11.523720000000026,4,0,5,29,1,1,0,file02.pdf
Learning Objectives,9.960000000000036,Helvetica,0,0,110.91347999999998,201.99767999999997,543.16192,553.12192,548.14192,left,11.434079999999994,4,0,2,19,0,0,0,file02.pdf
2.3,9.960000000000036,Helvetica,0,0,80.91395999999997,97.60691999999997,543.16192,553.12192,548.14192,left,0.0,4,0,1,3,1,0,0,file02.pdf
Entry Requirements,9.960000000000036,Helvetica,0,0,110.91347999999998,201.99768000000003,531.6382,541.5982,536.6182,left,11.523720000000026,4,0,2,18,0,0,0,file02.pdf
2.4,9.960000000000036,Helvetica,0,0,80.91395999999997,97.60691999999997,531.6382,541.5982,536.6182,left,0.0,4,0,1,3,1,0,0,file02.pdf
Structure and Course Duration,9.960000000000036,Helvetica,0,0,110.91347999999998,246.31968000000003,520.11448,530.07448,525.09448,left,11.523720000000026,4,0,4,29,0,0,0,file02.pdf
2.5,9.960000000000036,Helvetica,0,0,80.91395999999997,97.60691999999997,520.11448,530.07448,525.09448,left,0.0,4,0,1,3,1,0,0,file02.pdf
Keeping It Current,9.95999999999998,Helvetica,0,0,110.91347999999998,191.98090800000003,508.59076,518.55076,513.57076,left,11.523720000000026,4,0,3,18,0,0,0,file02.pdf
2.6,9.95999999999998,Helvetica,0,0,80.91395999999997,97.60691999999997,508.59076,518.55076,513.57076,left,0.0,4,0,1,3,1,0,0,file02.pdf
.....................................................................................................................,9.960000000000036,Helvetica,0,0,195.86232000000004,535.6218239999989,566.11972,576.0797200000001,571.09972,left,57.5289600000001,4,0,1,117,1,0,0,file02.pdf
............................................................................................................,9.960000000000036,Helvetica,0,0,221.81808000000004,535.6327799999991,554.596,564.556,559.576,left,11.523720000000026,4,0,1,108,1,0,0,file02.pdf
...................................................................................................................,9.960000000000036,Helvetica,0,0,201.62916000000004,535.6297919999989,543.16192,553.12192,548.14192,left,11.434079999999994,4,0,1,115,1,0,0,file02.pdf
...................................................................................................................,9.960000000000036,Helvetica,0,0,201.62916000000004,535.6297919999989,531.6382,541.5982,536.6182,left,11.523720000000026,4,0,1,115,1,0,0,file02.pdf
...................................................................................................,9.960000000000036,Helvetica,0,0,247.74396000000004,535.6387559999993,520.11448,530.07448,525.09448,left,11.523720000000026,4,0,1,99,1,0,0,file02.pdf
......................................................................................................................,9.95999999999998,Helvetica,0,0,192.99384000000003,535.6028999999988,508.59076,518.55076,513.57076,left,11.523720000000026,4,0,1,118,1,0,0,file02.pdf
7,9.960000000000036,Helvetica,0,0,535.1796,543.4862400000001,566.11972,576.0797200000001,571.09972,right,57.5289600000001,4,0,1,1,0,0,0,file02.pdf
7,9.960000000000036,Helvetica,0,0,535.18956,543.4962,554.596,564.556,559.576,right,11.523720000000026,4,0,1,1,0,0,0,file02.pdf
7,9.960000000000036,Helvetica,0,0,535.18956,543.4962,543.16192,553.12192,548.14192,right,11.434079999999994,4,0,1,1,0,0,0,file02.pdf
8,9.960000000000036,Helvetica,0,0,535.18956,543.4962,531.6382,541.5982,536.6182,right,11.523720000000026,4,0,1,1,0,0,0,file02.pdf
8,9.960000000000036,Helvetica,0,0,535.18956,543.4962,520.11448,530.07448,525.09448,right,11.523720000000026,4,0,1,1,0,0,0,file02.pdf
9,9.95999999999998,Helvetica,0,0,535.18956,543.4962,508.59076,518.55076,513.57076,right,11.523720000000026,4,0,1,1,0,0,0,file02.pdf
3.  Overview of the Foundation Level Extension – Agile Tester Syllabus,9.95999999999998,Helvetica-Bold,1,0,70.95396,413.92556400000007,491.09103999999996,501.15063999999995,496.12083999999993,left,17.400120000000015,4,0,11,70,1,0,0,file02.pdf
.........................................,9.95999999999998,Helvetica-Bold,1,0,414.07596,530.0292840000002,491.19064,501.15063999999995,496.17063999999993,right,0.0,4,0,1,41,1,0,0,file02.pdf
10,9.95999999999998,Helvetica-Bold,1,0,529.54224,543.350784,491.19064,501.15063999999995,496.17063999999993,right,0.0,4,0,1,2,0,0,0,file02.pdf
3.1,9.95999999999998,Helvetica,0,0,80.904,97.59696,473.55147999999997,483.51147999999995,478.53148,left,17.639160000000004,4,0,1,3,1,0,0,file02.pdf
3.2  Content,9.95999999999998,Helvetica,0,0,80.904,145.81332,462.14727999999997,472.10727999999995,467.1272799999999,left,11.404200000000003,4,0,2,12,1,1,0,file02.pdf
