text,page,pdf_file,label
"Linetzki, Tilo Linz, Leo van der Aalst, Marie Walsh, and Stephan Weber.",5,file02.pdf,OTHER
"Internal Reviewers: Mette Bruhn-Pedersen, Christopher Clements, Alessandro Collino, Debra",5,file02.pdf,OTHER
"Friedenberg, Kari Kakkonen, Beata Karpinska, Sammy Kolluru, Jennifer Leger, Thomas Mueller, Tuula",5,file02.pdf,OTHER
"Pääkkönen, Meile Posthuma, Gabor Puhalla, Lloyd Roden, Marko Rytkönen, Monika Stoecklein-Olsen,",5,file02.pdf,OTHER
"Robert Treffny, Chris Van Bael, and Erik van Veenendaal.",5,file02.pdf,OTHER
"The team thanks also the following persons, from the National Boards and the Agile expert community,",5,file02.pdf,OTHER
"who participated in reviewing, commenting, and balloting of the Foundation Agile Extension Syllabus: Dani",5,file02.pdf,OTHER
"Almog, Richard Berns, Stephen Bird, Monika Bögge, Afeng Chai, Josephine Crawford, Tibor Csöndes,",5,file02.pdf,OTHER
"Huba Demeter, Arnaud Foucal, Cyril Fumery, Kobi Halperin, Inga Hansen, Hanne Hinz, Jidong Hu, Phill",5,file02.pdf,OTHER
"Isles, Shirley Itah, Martin Klonk, Kjell Lauren, Igal Levi, Rik Marselis, Johan Meivert, Armin Metzger, Peter",5,file02.pdf,OTHER
"Morgan, Ninna Morin, Ingvar Nordstrom, Chris O’Dea, Klaus Olsen, Ismo Paukamainen, Nathalie Phung,",5,file02.pdf,OTHER
"Helmut Pichler, Salvatore Reale, Stuart Reid, Hans Rombouts, Petri Säilynoja, Soile Sainio, Lars-Erik",5,file02.pdf,OTHER
"Sandberg, Dakar Shalom,  Jian Shen, Marco Sogliani, Lucjan Stapp, Yaron Tsubery, Sabine Uhde,",5,file02.pdf,OTHER
"Stephanie Ulrich, Tommi Välimäki, Jurian Van de Laar, Marnix Van den Ent, António Vieira Melo, Wenye",5,file02.pdf,OTHER
"Xu, Ester Zabar, Wenqiang Zheng, Peter Zimmerer, Stevan Zivanovic, and Terry Zuo.",5,file02.pdf,OTHER
"This document was formally approved for release by the General Assembly of the ISTQB® on May 31,",5,file02.pdf,OTHER
2014.,5,file02.pdf,OTHER
Version 2014,5,file02.pdf,OTHER
Page 5 of 12,5,file02.pdf,OTHER
"May 31, 2014",5,file02.pdf,OTHER
© International Software Testing Qualifications Board,5,file02.pdf,OTHER
Overview,6,file02.pdf,OTHER
Foundation Level Extension – Agile Tester,6,file02.pdf,OTHER
International,6,file02.pdf,OTHER
Software Testing,6,file02.pdf,OTHER
Qualifications Board,6,file02.pdf,OTHER
1.  Introduction to the Foundation Level Extensions,6,file02.pdf,H1
This  overview  document  is  intended  for  anyone  with  an  interest  in  the  ISTQB  Foundation  Level,6,file02.pdf,OTHER
Extensions who wants a high-level introduction to the leading principles and an overview of the individual,6,file02.pdf,OTHER
extension syllabi.,6,file02.pdf,OTHER
"From  time  to  time,  ISTQB  will  update  this  document  to  reflect  any  additional  extensions  that  shall  be",6,file02.pdf,OTHER
"introduced  for  the  Foundation  Level,  or  to  reflect  major  changes  in  existing  ones.  Publications  of  the",6,file02.pdf,OTHER
updated document will be available on the ISTQB website.,6,file02.pdf,OTHER
The ISTQB Foundation and Advanced Level syllabi have been defined and have been on the market for,6,file02.pdf,OTHER
some  time.  New  topics  emerge  due  to  technology  and  methodology  changes  in  the  market  which  often,6,file02.pdf,OTHER
"are brought into the ISTQB program as new Expert Level syllabi. However, not all topics are suited for the",6,file02.pdf,OTHER
"Expert Level.  For this reason, the extension syllabi are established at the Foundation Level to expand the",6,file02.pdf,OTHER
ISTQB  program  to  incorporate  new  or  updated  knowledge.  New  extensions  shall  be  discussed  and,6,file02.pdf,OTHER
"introduced by the ISTQB periodically. Extensions may be established at the Advanced Level  as well, but",6,file02.pdf,OTHER
that is beyond the scope of this document.,6,file02.pdf,OTHER
The following Foundation Level Extension syllabus has been released:,6,file02.pdf,OTHER
  Agile Tester,6,file02.pdf,OTHER
"In this document, each Foundation Level Extension syllabus is summarized and the associated Business",6,file02.pdf,OTHER
Outcomes are stated.  The Business Outcomes communicate what can be expected from a person who,6,file02.pdf,OTHER
"achieves  a  Foundation  Level  Extension Certification in a particular subject  area  (e.g.,  Agile Tester),  and",6,file02.pdf,OTHER
will outline the benefits for companies that are considering the development of specific testing skills at this,6,file02.pdf,OTHER
level.,6,file02.pdf,OTHER
Version 2014,6,file02.pdf,OTHER
Page 6 of 12,6,file02.pdf,OTHER
"May 31, 2014",6,file02.pdf,OTHER
© International Software Testing Qualifications Board,6,file02.pdf,OTHER
Overview,7,file02.pdf,OTHER
Foundation Level Extension – Agile Tester,7,file02.pdf,OTHER
International,7,file02.pdf,OTHER
Software Testing,7,file02.pdf,OTHER
Qualifications Board,7,file02.pdf,OTHER
2.  Introduction to Foundation Level Agile Tester Extension,7,file02.pdf,H1
The  certification  for  Foundation  Level  Extension  –  Agile  Tester  is  designed  for  professionals  who  are,7,file02.pdf,OTHER
working  within  Agile  environments.,7,file02.pdf,OTHER
It  is  also  for  professionals  who  are  planning  to  start  implementing,7,file02.pdf,OTHER
"Agile  methods  in  the  near  future,  or  are  working  within  companies  that  plan  to  do  so,  The  certification",7,file02.pdf,OTHER
"provides an advantage for those who would like to know the required Agile activities, roles, methods, and",7,file02.pdf,OTHER
methodologies specific to their role.,7,file02.pdf,OTHER
2.1  Intended Audience,7,file02.pdf,H2
The Foundation Level Extension – Agile Tester qualification is aimed at four main groups of professionals:,7,file02.pdf,OTHER
1.  Professionals  who  have  achieved  in-depth  testing  experience  in  traditional  methods  and  would,7,file02.pdf,OTHER
like to get an Agile Tester Certificate.,7,file02.pdf,OTHER
"2.  Junior  professional  testers  who  are  just  starting  in  the  testing  profession,  have  received  the",7,file02.pdf,OTHER
"Foundation  Level  certificate,  and  would  like  to  know  more  about  the  tester’s  role  in  an  Agile",7,file02.pdf,OTHER
environment.,7,file02.pdf,OTHER
"3.  Professionals  who  are  relatively  new  to  testing  and  are  required  to  implement  test  approaches,",7,file02.pdf,OTHER
methods and techniques in their day to day job in Agile projects.,7,file02.pdf,OTHER
4.  Professionals  who  are  experienced  in  their  role  (including  unit  testing)  and  need  more,7,file02.pdf,OTHER
understanding  and  knowledge  about  how  to  perform  and  manage  testing  on  all  levels  in  Agile,7,file02.pdf,OTHER
projects.,7,file02.pdf,OTHER
"These  professionals  include  people  who  are  in  roles  such  as  testers,  test  analysts,  test  engineers,  test",7,file02.pdf,OTHER
"consultants, test managers, user acceptance testers, and software developers.",7,file02.pdf,OTHER
This  Foundation  Level  Extension  –  Agile  Tester  certification  may  also  be  appropriate  for  anyone  who,7,file02.pdf,OTHER
"wants  a  deeper  understanding  of  software  testing  in  the  Agile  world,  such  as  project  managers,  quality",7,file02.pdf,OTHER
"managers,  software  development  managers,  business  analysts,",7,file02.pdf,OTHER
"IT  directors,  and  management",7,file02.pdf,OTHER
consultants.,7,file02.pdf,OTHER
2.2  Career Paths for Testers,7,file02.pdf,H2
"Building  on  the  Foundation  Level,  the  Agile  Tester  Extension  supports  the  definition  of  career  paths  for",7,file02.pdf,OTHER
professional testers.  A person with the Agile Tester  certificate has extended the broad understanding of,7,file02.pdf,OTHER
testing acquired at the Foundation Level to enable him or her to work effectively as a professional tester in,7,file02.pdf,OTHER
an Agile project.,7,file02.pdf,OTHER
People possessing an ISTQB Foundation Level Extension – Agile Tester certificate may use the Certified,7,file02.pdf,OTHER
Tester Foundation Level acronym CTFL-AT.,7,file02.pdf,OTHER
2.3  Learning Objectives,7,file02.pdf,H2
"In  general,  the  Foundation  Level syllabus  is  examinable  at  a  K1  level,  i.e.,  the candidate  will  recognize,",7,file02.pdf,OTHER
remember and recall terms and concepts stated in the Foundation Level syllabus.,7,file02.pdf,OTHER
"In  addition,  all  Foundation  Level  syllabus  learning  objectives  are  examinable  at  the  same  K- level  in  an",7,file02.pdf,OTHER
extension exam.,7,file02.pdf,OTHER
Version 2014,7,file02.pdf,OTHER
Page 7 of 12,7,file02.pdf,OTHER
"May 31, 2014",7,file02.pdf,OTHER
© International Software Testing Qualifications Board,7,file02.pdf,OTHER
Overview,8,file02.pdf,OTHER
Foundation Level Extension – Agile Tester,8,file02.pdf,OTHER
International,8,file02.pdf,OTHER
Software Testing,8,file02.pdf,OTHER
Qualifications Board,8,file02.pdf,OTHER
"That  said,  each  extension  level  exam  focuses  on  the  learning  objectives  defined  in  that  extension",8,file02.pdf,OTHER
"syllabus. The relevant learning objectives at K1, K2, and K3 levels are provided at the beginning of each",8,file02.pdf,OTHER
chapter within each particular extension syllabus.,8,file02.pdf,OTHER
2.4  Entry Requirements,8,file02.pdf,H2
"To  be  able  to  participate  in  a  Foundation  Level  Extension  –  Agile  Tester  exam,  candidates  must  have",8,file02.pdf,OTHER
obtained the ISTQB Foundation Level certificate.,8,file02.pdf,OTHER
2.5  Structure and Course Duration,8,file02.pdf,H2
The  Foundation  Level  Extension  –  Agile  Tester  syllabus  has  no  shared  or  common  elements  with  the,8,file02.pdf,OTHER
Foundation Level syllabus.,8,file02.pdf,OTHER
The syllabi must be taught in the following minimum number of days:,8,file02.pdf,OTHER
Syllabus,8,file02.pdf,OTHER
Baseline: Foundation,8,file02.pdf,OTHER
Extension: Agile Tester,8,file02.pdf,OTHER
Days,8,file02.pdf,OTHER
3,8,file02.pdf,OTHER
2,8,file02.pdf,OTHER
The  following  figure  shows  the  structure  of  the  Agile  Tester  Extension  and  its  relationship  to  the,8,file02.pdf,OTHER
Foundation Level.,8,file02.pdf,OTHER
Version 2014,8,file02.pdf,OTHER
Page 8 of 12,8,file02.pdf,OTHER
"May 31, 2014",8,file02.pdf,OTHER
© International Software Testing Qualifications Board,8,file02.pdf,OTHER
Overview,9,file02.pdf,OTHER
Foundation Level Extension – Agile Tester,9,file02.pdf,OTHER
International,9,file02.pdf,OTHER
Software Testing,9,file02.pdf,OTHER
Qualifications Board,9,file02.pdf,OTHER
2.6  Keeping It Current,9,file02.pdf,H2
The software industry changes rapidly.  To deal with these changes and to provide the stakeholders with,9,file02.pdf,OTHER
"access  to  relevant  and  current  information,  the  ISTQB  working  groups  have  created  links  on  the",9,file02.pdf,OTHER
"www.istqb.org web site which refer to supporting documents, changes to standards and new occurrences",9,file02.pdf,OTHER
in the industry.  This information is not examinable under this syllabus.,9,file02.pdf,OTHER
Version 2014,9,file02.pdf,OTHER
Page 9 of 12,9,file02.pdf,OTHER
"May 31, 2014",9,file02.pdf,OTHER
© International Software Testing Qualifications Board,9,file02.pdf,OTHER
Overview,10,file02.pdf,OTHER
Foundation Level Extension – Agile Tester,10,file02.pdf,OTHER
International,10,file02.pdf,OTHER
Software Testing,10,file02.pdf,OTHER
Qualifications Board,10,file02.pdf,OTHER
3.  Overview of the Foundation Level Extension – Agile Tester,10,file02.pdf,H1
Syllabus,10,file02.pdf,H1
3.1  Business Outcomes,10,file02.pdf,H2
This section lists the Business Outcomes expected of a candidate who has achieved the Foundation Level,10,file02.pdf,OTHER
Extension – Agile Tester certification.,10,file02.pdf,OTHER
An Agile Tester can…,10,file02.pdf,OTHER
AFM1  Collaborate in a cross-functional Agile team being familiar with principles and basic,10,file02.pdf,OTHER
practices of Agile software development.,10,file02.pdf,OTHER
AFM2  Adapt existing testing experience and knowledge to Agile values and principles.,10,file02.pdf,OTHER
AFM3  Support the Agile team in planning test-related activities.,10,file02.pdf,OTHER
AFM4  Apply relevant methods and techniques for testing in an Agile project.,10,file02.pdf,OTHER
AFM5  Assist the Agile team in test automation activities.,10,file02.pdf,OTHER
"AFM6  Assist business stakeholders in defining understandable and testable user stories,",10,file02.pdf,OTHER
"scenarios, requirements and acceptance criteria as appropriate.",10,file02.pdf,OTHER
AFM7  Work and share information with other team members using effective communication,10,file02.pdf,OTHER
styles and channels.,10,file02.pdf,OTHER
"In general, a Certified Tester Foundation Level – Agile Tester is expected to have acquired the necessary",10,file02.pdf,OTHER
skills to working effectively within an Agile team and environment.,10,file02.pdf,OTHER
3.2  Content,10,file02.pdf,H2
Chapter 1: Agile Software Development,10,file02.pdf,OTHER
  The tester should remember the basic concept of Agile software development based on the Agile,10,file02.pdf,OTHER
Manifesto.,10,file02.pdf,OTHER
  The  tester  should  understand  the  advantages  of  the  whole-team  approach  and  the  benefits  of,10,file02.pdf,OTHER
early and frequent feedback.,10,file02.pdf,OTHER
  The tester should recall Agile software development approaches.,10,file02.pdf,OTHER
  The  tester  should  be  able  to  write  testable  user  stories  in  collaboration  with  developers  and,10,file02.pdf,OTHER
business representatives.,10,file02.pdf,OTHER
  The  tester  should  understand  how  retrospectives  can  be  used  as  a  mechanism  for  process,10,file02.pdf,OTHER
improvement in Agile projects.,10,file02.pdf,OTHER
  The tester should understand the use and purpose of continuous integration.,10,file02.pdf,OTHER
"  The tester should know the differences between iteration and release planning, and how a tester",10,file02.pdf,OTHER
adds value in each of these activities.,10,file02.pdf,OTHER
Version 2014,10,file02.pdf,OTHER
Page 10 of 12,10,file02.pdf,OTHER
"May 31, 2014",10,file02.pdf,OTHER
© International Software Testing Qualifications Board,10,file02.pdf,OTHER
Overview,11,file02.pdf,OTHER
Foundation Level Extension – Agile Tester,11,file02.pdf,OTHER
International,11,file02.pdf,OTHER
Software Testing,11,file02.pdf,OTHER
Qualifications Board,11,file02.pdf,OTHER
"Chapter 2: Fundamental Agile Testing Principles, Practices, and Processes",11,file02.pdf,OTHER
  The  tester should  be  able  to  describe  the  differences between  testing  activities in  Agile  projects,11,file02.pdf,OTHER
and non-Agile projects.,11,file02.pdf,OTHER
  The  tester  should  be  able  to  describe  how  development  and  testing  activities  are  integrated  in,11,file02.pdf,OTHER
Agile projects.,11,file02.pdf,OTHER
  The tester should be able to describe the role of independent testing in Agile projects.,11,file02.pdf,OTHER
  The tester should be able to describe the tools and techniques used to communicate the status of,11,file02.pdf,OTHER
"testing in an Agile project, including test progress and product quality.",11,file02.pdf,OTHER
  The tester should be able to describe the process of evolving tests  across multiple iterations and,11,file02.pdf,OTHER
explain why test automation is important to manage regression risk in Agile projects.,11,file02.pdf,OTHER
"  The tester should understand the skills (people, domain, and testing) of a tester in an Agile team.",11,file02.pdf,OTHER
  The tester should be able to understand the role of a tester within an Agile team.,11,file02.pdf,OTHER
"Chapter 3: Agile Testing Methods, Techniques, and Tools",11,file02.pdf,OTHER
"  The  tester  should  be  able  to  recall  the  concepts  of  test-driven  development,  acceptance  test-",11,file02.pdf,OTHER
"driven development, and behavior-driven development.",11,file02.pdf,OTHER
  The tester should be able to recall the concepts of the test pyramid.,11,file02.pdf,OTHER
  The tester should be able to summarize the testing quadrants and their relationships with testing,11,file02.pdf,OTHER
levels and testing types.,11,file02.pdf,OTHER
"  For a given Agile project, the tester should be able to work as a tester in a Scrum team.",11,file02.pdf,OTHER
  The tester should be able to assess quality risks within an Agile project.,11,file02.pdf,OTHER
  The tester should be able to  estimate testing effort based on iteration content and quality risks.,11,file02.pdf,OTHER
  The tester should be able to interpret relevant information to support testing activities.,11,file02.pdf,OTHER
  The tester should be able to explain to business stakeholders how to define testable acceptance,11,file02.pdf,OTHER
criteria.,11,file02.pdf,OTHER
"  Given  a  user  story,  the  tester  should  be  able  to  write  acceptance  test-driven  development  test",11,file02.pdf,OTHER
cases.,11,file02.pdf,OTHER
"  For both functional and non-functional behavior, the tester should be able to write test cases using",11,file02.pdf,OTHER
black box test design techniques based on given user stories.,11,file02.pdf,OTHER
  The tester should be able to perform exploratory testing to support the testing of an Agile project.,11,file02.pdf,OTHER
  The  tester  should  be  able  to  recall  different  tools  available  to  testers  according  to  their  purpose,11,file02.pdf,OTHER
and to activities in Agile projects.,11,file02.pdf,OTHER
Version 2014,11,file02.pdf,OTHER
Page 11 of 12,11,file02.pdf,OTHER
"May 31, 2014",11,file02.pdf,OTHER
© International Software Testing Qualifications Board,11,file02.pdf,OTHER
Overview,12,file02.pdf,OTHER
Foundation Level Extension – Agile Tester,12,file02.pdf,OTHER
International,12,file02.pdf,OTHER
Software Testing,12,file02.pdf,OTHER
Qualifications Board,12,file02.pdf,OTHER
4.  References,12,file02.pdf,H1
4.1  Trademarks,12,file02.pdf,H2
The following registered trademarks and service marks are used in this document:,12,file02.pdf,OTHER
ISTQB®  is a registered trademark of the International Software Testing Qualifications Board,12,file02.pdf,OTHER
4.2  Documents and Web Sites,12,file02.pdf,H2
Identifier,12,file02.pdf,H1
[ISTQB-Web],12,file02.pdf,OTHER
Reference,12,file02.pdf,OTHER
Web site of the International Software Testing Qualifications Board. Refer,12,file02.pdf,OTHER
to this website for the latest ISTQB Glossary and Syllabi. (www.istqb.org),12,file02.pdf,OTHER
Version 2014,12,file02.pdf,OTHER
Page 12 of 12,12,file02.pdf,OTHER
"May 31, 2014",12,file02.pdf,OTHER
© International Software Testing Qualifications Board,12,file02.pdf,OTHER
Ontario’s Libraries,1,file03.pdf,H1
Working Together,1,file03.pdf,H1
oposal,1,file03.pdf,TITLE
quest foooor Prr Prr Prr Proposal,1,file03.pdf,TITLE
oposal,1,file03.pdf,TITLE
quest f,1,file03.pdf,TITLE
RFP: Reeeequest f,1,file03.pdf,TITLE
RFP: R,1,file03.pdf,TITLE
oposal,1,file03.pdf,TITLE
quest f,1,file03.pdf,TITLE
RFP: R,1,file03.pdf,TITLE
RFP: R,1,file03.pdf,TITLE
To Present a Proposal for Developing,1,file03.pdf,TITLE
the Business Plan for the Ontario,1,file03.pdf,TITLE
Digital Library,1,file03.pdf,TITLE
"March 21, 2003",1,file03.pdf,TITLE
"The Ontario Digital Library will make Ontario a better place to study, work and live by ensuring that",1,file03.pdf,OTHER
all Ontario citizens have access to the knowledge and learning supports needed to be life-long,1,file03.pdf,OTHER
learners and effective contributors towards Ontario’s prosperity.,1,file03.pdf,OTHER
Ontario’s Digital Library,2,file03.pdf,H1
A Critical Component for Implementing Ontario’s Road Map to,2,file03.pdf,H1
Prosperity Strategy,2,file03.pdf,H1
Summary,2,file03.pdf,H2
The  purpose  of  this  Request  for  Proposal (RFP)  is  to  invite  firms  and/or  consultants  to,2,file03.pdf,OTHER
present a proposal for developing the business plan for the Ontario Digital Library (ODL).,2,file03.pdf,OTHER
The ODL will deliver high-quality library electronic content to all Ontario residents in order to,2,file03.pdf,OTHER
"assist people as they learn, work, and enhance their quality of life. The business plan to be",2,file03.pdf,OTHER
developed is to document and clearly communicate:,2,file03.pdf,OTHER
"how the ODL will be implemented, including the timeline",2,file03.pdf,OTHER
the financial plan for the implementation,2,file03.pdf,H1
"the financial plan for the first 2 operating years, including capital and operating costs,",2,file03.pdf,OTHER
"revenues, etc.",2,file03.pdf,OTHER
a financial forecast for the succeeding 2 operating years,2,file03.pdf,OTHER
the services and products to be delivered by the ODL,2,file03.pdf,OTHER
how the ODL will operate and be managed following the implementation,2,file03.pdf,OTHER
"who  will  be  involved,  and  what  their  role/responsibility  will  be,  for  both  the",2,file03.pdf,OTHER
implementation and operational stages,2,file03.pdf,OTHER
the marketing and communications plan for the ODL,2,file03.pdf,OTHER
This business plan must be completed and approved by the ODL Steering Committee no,2,file03.pdf,OTHER
"later than September 30, 2003",2,file03.pdf,H3
Timeline:,2,file03.pdf,H3
Those  firms/consultants  intended  to  submit  a  proposal  to  this  RFP  must  indicate  their,2,file03.pdf,OTHER
